ID,SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
51,1328,3,1,Suburb,1983,242104.2425854674
52,2847,2,1,Suburb,1971,281645.3729242724
53,2880,3,3,Urban,2020,297875.89304118184
54,1402,5,3,Urban,1975,152047.04699064436
55,2624,5,1,Suburb,2016,330265.8867004214
56,1102,3,3,Suburb,,175185.5412339954
57,2734,3,3,Rural,1966,268890.6678222521
58,2231,2,2,Urban,1972,290230.7668284383
59,2048,2,1,Urban,2006,169271.0170561002
60,2664,4,3,Suburb,1997,223023.1139442055
61,1234,3,2,Urban,1992,146922.64319386645
62,1930,2,1,Urban,1997,222664.7505035467
63,2294,3,3,Urban,2021,230407.460222872
64,2855,3,1,Urban,1994,330964.8908417552
65,1006,2,2,Urban,2004,126498.85177170672
66,1370,4,1,Urban,,154649.4427899485
67,1622,4,2,Suburb,2000,278292.8189995399
68,1999,3,1,Urban,1956,207920.2125942786
69,2511,3,2,Rural,1951,273143.34277111903
70,2006,2,3,Rural,,233943.3112297511
71,2378,5,2,Urban,1964,187873.97932525715
72,1864,3,2,Rural,1982,134394.23176278622
73,1091,5,1,Suburb,1995,103736.99851570876
74,2014,2,3,Rural,1970,187786.1865537745
75,1236,2,1,Suburb,1991,138257.07659854073
76,2516,2,2,Suburb,2007,266620.469252112
77,1136,2,3,Urban,1954,110127.99548619751
78,1583,5,3,Rural,1978,213617.46144524644
79,1777,2,1,Urban,1978,161523.8451272862
80,1850,3,2,Suburb,2000,181403.54547916952
81,1467,5,3,Rural,2018,280301.6882942679
82,1868,2,3,Rural,2009,159575.54521913128
83,2483,3,3,Urban,2003,300346.7970521132
84,2018,4,3,Suburb,2005,311967.39250561816
85,2074,3,3,Rural,1995,186854.47618053315
86,2642,2,2,Suburb,1975,319753.0199450481
87,1290,3,2,Suburb,2000,169224.3714072209
88,2302,4,2,Suburb,,166982.13680256196
89,1668,3,1,Urban,2009,77754.31028987568
90,1806,4,2,Rural,2002,288777.33298561577
91,1867,4,1,Urban,1979,219165.9547411953
92,1933,2,3,Urban,1995,166168.13807317358
93,1582,2,1,Rural,2017,126150.42593181122
94,1412,5,3,Urban,2002,72027.9946033991
95,2877,4,2,Urban,2014,267098.72126807086
96,2931,4,3,Rural,2017,266776.4367986702
97,1480,4,2,Urban,1954,151239.4669898874
98,1384,3,3,Suburb,51,156048.04804408687
99,1629,4,3,Urban,1965,221591.32293774188
100,2811,3,3,Rural,1990,286948.9933731197
101,2366,5,1,Rural,2021,260777.2308945946
102,1007,5,2,Urban,2014,161247.8099636203
103,2104,4,1,Suburb,1954,202715.1601476104
104,1566,5,1,Rural,1957,202852.8512281156
105,2447,4,2,Suburb,1975,228399.57503906364
106,1040,2,2,Rural,1999,71016.63065842565
107,1895,4,1,Rural,1979,239339.05258852712
108,1123,2,2,Rural,2016,206281.97165524287
109,1656,5,2,Rural,1980,210075.3530232948
110,1016,3,2,Suburb,1958,82287.52328304204
111,1909,4,2,Suburb,1992,257529.09286756447
112,1835,4,3,Rural,1996,191213.4897642184
113,1009,4,2,Urban,1973,17478.99864151512
114,2443,5,1,Rural,1972,217212.34651376877
115,2635,4,2,Rural,1995,271421.5231916659
116,1545,3,1,Urban,1999,224733.3643356607
117,1878,2,1,Suburb,1964,128693.02879404814
118,2295,4,1,Suburb,91,273978.25476953946
119,1130,2,3,Suburb,1995,69618.79398825156
120,1858,2,3,Suburb,1962,138549.75432244653
121,1899,3,1,Suburb,1952,225220.4084931193
122,1819,3,1,Urban,1977,321637.91500907706
123,2278,5,3,Urban,1979,311286.68418021576
124,1759,5,3,Suburb,2008,259181.1653513539
125,2328,3,2,Suburb,1997,170776.34823241012
126,2967,4,3,Suburb,1967,349696.4608418144
127,1272,5,1,Suburb,2011,185377.47758731543
128,2539,4,2,Suburb,1980,230552.4199695317
129,1641,5,1,Suburb,2008,252643.32830796583
130,2926,3,2,Rural,77,282845.84908221685
131,1170,3,1,Rural,1988,161335.8246965493
132,2148,2,1,Suburb,2018,224816.71384471847
133,,4,3,Rural,2014,105300.13819765997
134,2601,3,3,Urban,1970,294025.9835383412
135,1039,5,3,Urban,1992,91553.93463552928
136,1568,5,1,Urban,2004,288763.5329638816
137,1660,5,1,Rural,2014,152401.16401955212
138,2739,2,1,Suburb,1995,348498.2790452087
139,1176,5,3,Rural,1969,231901.98011263605
140,2007,5,1,Suburb,1982,228010.1338915408
141,2616,2,3,Urban,1969,220691.81001198204
142,2338,2,2,Suburb,1972,283557.5231021189
143,1109,5,1,Urban,1971,77770.6998295442
144,1213,2,3,Rural,1968,66902.74084228002
145,1117,3,1,Urban,1994,87719.77665115723
146,1764,4,3,Suburb,2017,222809.08793665635
147,1657,2,1,Urban,2008,169346.34683258232
148,1947,4,3,Rural,1954,153018.2367329775
149,1415,5,2,Suburb,1988,205614.57915538244
150,1733,3,2,Rural,1990,174667.4139080731
151,1864,5,1,Rural,2010,190925.36961717453
152,1883,4,2,Urban,1962,146980.29859823742
153,1508,4,2,Rural,1966,152494.6484071479
154,1861,5,3,Suburb,1979,275324.0481199658
155,2736,3,1,Rural,2007,339060.0972200169
156,1023,5,2,Urban,2000,140782.47555003146
157,2362,3,2,Suburb,1960,341466.84575202985
158,1223,3,3,Urban,2005,136649.56802245203
159,1645,4,2,Suburb,2009,201271.71153269176
160,2811,3,1,Suburb,2006,308849.8015068985
161,1197,5,1,Urban,1962,260664.4858989305
162,2855,5,2,Urban,1957,297400.64648435323
163,2969,3,2,Rural,2005,301778.4473328189
164,1574,2,3,Rural,1951,184214.47546204296
165,2727,2,1,Urban,2005,433711.4766084304
166,2318,5,1,Rural,2009,211335.7325331828
167,2101,5,1,Urban,2014,246617.9537737073
168,1395,5,2,Suburb,1979,184112.9581561743
169,2777,4,3,Suburb,2014,310921.83101395465
170,1215,2,1,Urban,2014,154616.58620119467
171,2035,3,3,Rural,1965,278976.3253467605
172,1466,4,3,Urban,1983,148152.96915217148
173,1322,4,2,Rural,2017,192674.539522642
174,2320,4,3,Urban,2014,230809.19893773983
175,2756,3,3,Suburb,1995,232694.95346432336
176,2321,4,3,Rural,1977,229050.9289439172
177,2308,5,1,Suburb,2004,248756.16545372937
178,1107,4,1,Suburb,1991,201356.57980722009
179,2320,4,2,Suburb,1951,249589.04579908896
180,1071,5,3,Urban,2018,34120.989250609506
181,1819,2,1,Rural,2007,57393.453026128176
182,2016,5,1,Urban,1956,231062.03404910825
183,1752,4,1,Rural,1987,224889.69027485923
184,1553,5,1,Suburb,1997,223049.0041754864
185,1018,4,1,Rural,1971,229386.64046956575
186,2915,3,3,Rural,1979,332777.04903436854
187,2188,5,2,Rural,1982,264786.0527026637
188,1027,2,1,Urban,2013,111105.00327040508
189,1520,2,3,Suburb,1970,128833.94777892344
190,1116,5,1,Suburb,2000,178910.26027831383
191,1688,3,1,Urban,2008,268642.4438855043
192,2936,5,1,Urban,1959,333334.8691496637
193,2107,3,3,Suburb,2018,188178.68256686287
194,1391,5,3,Urban,2012,134708.27320893586
195,1940,4,3,Suburb,1990,150501.57030989276
196,1789,2,2,Rural,1955,186121.2447203404
197,2162,4,2,Urban,1960,143218.14101912058
198,1017,5,1,Suburb,1979,89294.08962331024
199,1750,5,2,Suburb,1953,240328.0837129925
200,1745,3,1,Rural,1962,157484.3565441525
201,1675,5,1,Suburb,1962,271130.17609539325
202,2078,2,3,Suburb,1977,230098.5472493337
203,2958,4,3,Suburb,1986,325847.097345022
204,1952,2,3,Rural,1967,192278.9022269149
205,1245,2,1,Suburb,1959,239040.5389199035
206,2820,5,2,Rural,2013,242115.20808071716
207,2706,4,2,Urban,1986,304408.6634261656
208,1992,3,1,Suburb,2019,99779.25982205624
209,1862,5,2,Urban,2006,211193.47836145613
210,2296,4,3,Urban,1980,169463.4104782055
211,1925,4,3,Rural,1999,228625.4950395087
212,2397,5,3,Rural,1960,330412.8408841884
213,2018,3,3,Urban,2011,193893.6329363361
214,1160,5,2,Suburb,2001,134022.62804119883
215,2721,3,3,Suburb,1964,344530.094489877
216,2183,5,1,Rural,2005,206696.6103080801
217,2799,2,1,Urban,1969,288209.0887239885
218,1881,4,3,Rural,1998,273008.672338132
219,2904,2,3,Rural,1989,311864.59669716575
220,1614,2,1,Rural,2020,185401.1987518225
221,2673,5,2,Suburb,1976,328378.6548259304
222,2687,5,2,Suburb,2013,242187.3612696511
223,2797,2,1,Suburb,1979,227665.98626081995
224,1896,3,3,Suburb,1978,214571.3264617414
225,1659,4,1,Urban,1991,173988.63812826228
226,1110,5,3,Rural,1989,136938.95842553437
227,2464,2,2,Rural,1952,275414.60679363087
228,1968,2,1,Urban,2011,291881.8343791338
229,2096,4,3,Urban,2014,326971.29429194995
230,1310,3,1,Suburb,1950,167856.2914716137
231,1666,2,1,Suburb,2020,208691.37471576876
232,2938,4,1,Urban,2004,308543.553879339
233,2674,2,2,Rural,1965,411781.9948141856
234,2120,5,3,Rural,1978,309748.50629782694
235,1072,5,3,Urban,2002,159884.17145284722
236,1514,4,3,Suburb,2006,119546.29301862484
237,1835,3,3,Rural,1968,164915.00847035716
238,1243,3,1,Urban,1984,208676.2656094653
239,1969,5,2,Urban,1996,312211.15576211
240,2516,3,1,Suburb,1969,210325.54496359924
241,2630,2,2,Suburb,1951,278608.5447493475
242,2381,4,3,Urban,2016,284550.76060650364
243,1935,3,3,Suburb,1972,184571.597380449
244,1714,4,2,Rural,1955,301166.68985780864
245,1231,5,2,Urban,1964,185243.6835340937
246,2374,3,2,Urban,1975,299367.4806678316
247,1858,2,1,Urban,1983,181943.27189717436
248,2630,2,1,Urban,2018,261717.1541109648
249,1784,2,1,Suburb,1976,228886.87110292865
250,1675,5,1,Rural,1987,218889.39473848185
251,2432,4,1,Urban,1958,247115.709957828
252,1371,3,1,Rural,1970,178462.18885502804
253,1307,5,1,Urban,2007,250183.70768342676
254,1941,5,3,Rural,2018,218714.0799525994
255,2532,2,3,Urban,1956,268077.93349359004
256,1694,4,3,Rural,1999,147273.1409854901
257,2708,5,2,Suburb,2010,301978.7352913619
258,2225,5,1,Urban,1956,235426.58452980133
259,2727,2,2,Suburb,1989,305166.7005305843
260,2621,4,2,Rural,2009,221685.9098922186
261,1465,5,3,Suburb,1989,121425.08166563053
262,2647,5,3,Rural,1972,311722.3127206939
263,1605,5,3,Suburb,2012,200186.4265616433
264,2791,2,3,Urban,1988,182074.84618865847
265,2656,5,1,Rural,1999,173033.963628569
266,1476,2,2,Suburb,2011,125207.71994314918
267,1174,3,2,Suburb,2015,143125.3481076843
268,2432,4,3,Suburb,1974,313891.84890762705
269,2497,2,3,Suburb,2005,250702.42664012915
270,2856,5,3,Urban,1965,294275.3719713387
271,2172,3,3,Rural,1973,212381.84570579272
272,2262,5,2,Rural,1965,286313.141809363
273,2277,4,2,Urban,1970,318109.4831501588
274,1319,4,2,Suburb,2017,149911.1190011201
275,1517,3,3,Urban,1959,142884.08185358913
276,2276,2,1,Suburb,1954,173191.36668508354
277,1475,2,3,Urban,1956,200059.5637054966
278,2183,4,2,Urban,1981,284799.7493822863
279,2218,2,2,Urban,1994,206133.60620030877
280,1522,3,3,Rural,2003,174271.11138748433
281,1016,5,3,Rural,1969,184050.3091260437
282,2162,2,3,Rural,1953,252977.5687190297
283,1256,5,3,Urban,1973,228655.38669811096
284,2763,2,2,Rural,1973,352653.1848711724
285,2745,5,2,Urban,2008,337685.54971648706
286,1082,2,2,Suburb,1976,131545.28676836044
287,2872,3,2,Urban,1964,336010.7915742322
288,2644,4,3,Urban,2015,321510.9158393557
289,2405,3,1,Rural,2016,321874.8022319861
290,2537,3,1,Rural,1979,297015.1743591566
291,1833,5,3,Urban,1973,233086.1129628181
292,2316,2,2,Rural,2005,293955.0270933893
293,1529,2,2,Urban,2009,193113.83137033315
294,1655,3,2,Rural,2001,162647.54590373696
295,1096,5,3,Rural,1961,115475.44000538097
296,2986,5,2,Urban,2020,325286.2166126503
297,1702,5,1,Rural,1964,132889.80697630477
298,1930,3,3,Suburb,2011,130717.95734358556
299,2542,3,1,Urban,1966,233151.9408588177
300,2243,4,1,Suburb,2019,235914.57857694305
301,2093,4,2,Suburb,2002,264833.8182033389
302,2845,2,2,Urban,1960,412303.3990535778
303,2968,3,3,Urban,2009,308064.99247658165
304,1769,4,1,Urban,1951,218150.30652080924
305,2316,5,2,Urban,1960,226853.39434455056
306,2070,4,3,Rural,1959,296487.496960384
307,1931,5,1,Suburb,1963,208701.47896797492
308,1988,4,2,Suburb,1965,252345.90693752703
309,1392,5,3,Suburb,1973,225210.2959143238
310,2371,3,2,Urban,2015,253836.57265164825
311,1079,3,1,Urban,1995,133076.00937210952
312,1999,5,3,Urban,1989,210093.49691165896
313,1048,4,3,Urban,1980,126586.18944713892
314,2712,4,2,Urban,2014,278069.94934203266
315,1215,2,3,Urban,1983,153031.34733939747
316,1849,3,2,Suburb,2004,119267.9818778307
317,2286,4,3,Urban,1965,280827.3041186223
318,2427,2,3,Rural,1986,254984.87250267723
319,2324,3,1,Urban,2001,209940.29691724887
320,1724,3,1,Urban,1968,136345.67631441582
321,1756,4,2,Suburb,1997,144595.523471587
322,2228,3,3,Suburb,2010,320605.387688019
323,2712,4,3,Urban,1999,357075.8856409965
324,2441,4,1,Suburb,1958,282621.60985600896
325,2643,4,1,Rural,1968,286287.33197000704
326,1084,4,3,Suburb,1990,152024.1140434493
327,1955,2,2,Rural,2016,206216.15065577615
328,1877,2,1,Rural,2016,245405.75173207052
329,2769,4,3,Rural,1982,290861.95419232146
330,1720,3,1,Suburb,1987,143360.36408753603
331,2206,4,3,Rural,1952,239594.75237571285
332,1594,2,2,Urban,1964,168810.74951664894
333,1849,5,1,Suburb,2015,263724.5373554831
334,1661,4,3,Rural,2014,137762.84078791918
335,1292,3,1,Suburb,1970,158235.8658153545
336,1350,4,1,Suburb,1993,217970.793010683
337,2239,5,1,Urban,2003,234644.335309964
338,2423,4,3,Rural,1967,256707.70111737572
339,2543,3,1,Rural,1953,281305.0841378396
340,2244,4,2,Urban,1952,243730.70038301815
341,2211,3,1,Suburb,1990,201667.5582816408
342,1809,4,3,Urban,2010,260102.0735342591
343,2798,3,3,Suburb,1968,355775.04849581496
344,2287,3,1,Rural,1957,328227.9297094795
345,2984,2,3,Urban,2000,292307.808704526
346,1383,2,2,Urban,2009,84138.09362685001
347,1499,4,2,Urban,1953,278258.5570178535
348,2945,4,1,Suburb,1953,319405.8814228223
349,1863,3,1,Suburb,1995,191135.23660988148
350,2452,3,2,Rural,1963,267729.8010590776
351,2505,3,2,Suburb,1957,204729.66249250888
352,1760,3,3,Urban,2021,198583.35104779337
353,2706,2,1,Urban,1993,316579.5882218394
354,2849,5,2,Rural,1959,319329.4672416855
355,1526,4,3,Suburb,2011,169655.92084802347
356,2943,3,3,Rural,1958,352089.6861034147
357,2746,5,2,Urban,1986,238485.9494136552
358,2304,2,3,Rural,2014,276385.45427321986
359,2385,2,2,Rural,1984,203552.10479510747
360,2595,2,1,Urban,1979,327603.497805849
361,1060,4,2,Suburb,2017,160763.3651967156
362,1895,5,3,Urban,1967,228823.38851516417
363,1497,2,2,Suburb,1971,220831.20914375503
364,2892,3,2,Suburb,1969,244763.58788130808
365,1964,4,2,Urban,2012,240512.6211260476
366,1815,4,1,Suburb,2018,124575.98669212994
367,2322,2,3,Rural,2005,256041.9915234665
368,2635,3,1,Suburb,2018,236864.98339667727
369,1627,4,1,Rural,1981,192616.91072899688
370,2967,4,1,Rural,2021,342956.24247386155
371,2348,4,2,Suburb,2008,272890.25884202146
372,1017,5,1,Rural,1970,92797.39397730608
373,2145,2,3,Urban,1960,255552.4969634977
374,1510,2,1,Urban,2007,66562.89292432836
375,1996,2,2,Urban,2008,212850.6105487576
376,2981,2,1,Urban,2002,423326.2272172762
377,2033,5,3,Urban,1951,191272.0922161892
378,1347,4,1,Urban,1995,161505.55043929507
379,1319,4,1,Suburb,1988,190817.22290385075
380,2506,4,1,Rural,2018,192292.20273568016
381,1594,4,2,Urban,1970,131594.97523459827
382,1635,3,1,Rural,1967,136609.4688008714
383,2407,5,2,Urban,1975,263184.87373168266
384,2693,5,3,Urban,1960,312652.18770411395
385,1163,3,1,Urban,1992,121817.23479229056
386,1649,5,1,Rural,1969,134951.24602425448
387,1276,2,3,Urban,1964,194119.8812886153
388,2229,2,3,Rural,1999,244122.57856793035
389,2340,2,3,Suburb,2013,213974.0764746041
390,2486,5,2,Rural,1971,210252.0607809513
391,1667,4,1,Rural,1996,173232.01399758636
392,2255,4,2,Suburb,1950,235916.37088508025
393,1407,2,2,Rural,2003,143653.74604184146
394,1622,5,2,Urban,2019,200975.5172258496
395,1885,5,2,Urban,1957,269329.62352164625
396,1956,3,1,Rural,1958,239461.1047148436
397,1136,2,2,Rural,1991,116585.23345421604
398,2086,2,2,Urban,1969,217634.79240157784
399,1352,4,2,Suburb,1953,223931.5169458084
400,1869,5,1,Suburb,1985,194792.09403069635
401,1557,3,2,Rural,2015,206590.7065403547
402,1053,2,1,Urban,1965,111430.56947225046
403,1382,2,3,Rural,1955,144798.84270425502
404,1891,2,3,Rural,1951,250048.8575347107
405,2177,3,2,Urban,1986,250480.68693130283
406,2381,3,2,Suburb,2002,267500.36317000946
407,2624,3,3,Urban,1980,277178.8824466539
408,1331,2,3,Rural,1999,121367.59384630257
409,1809,5,3,Suburb,1985,137492.84570106852
410,1658,4,1,Suburb,1973,200254.7187053508
411,1105,4,1,Rural,1970,47632.31331715312
412,1077,5,2,Urban,1987,177638.71846966265
413,1948,5,2,Rural,1994,204052.24242326032
414,1605,3,3,Suburb,1957,226138.2818312595
415,2144,5,3,Suburb,1952,182912.5006374202
416,1541,3,1,Suburb,1991,216165.64668561384
417,2125,5,2,Urban,1956,257348.1353173842
418,1551,4,2,Urban,1974,113225.28140327014
419,2808,5,1,Rural,1983,345894.3652586652
420,2161,5,3,Rural,1974,250901.1080104908
421,2482,4,1,Rural,1983,245308.3908855594
422,2563,4,2,Suburb,2003,272355.08374947513
423,2456,2,2,Rural,1992,241033.22357244755
424,1607,4,2,Urban,2021,144421.68605274116
425,1163,4,3,Urban,1975,73356.05325235477
426,2748,3,2,Rural,1993,301132.5062978228
427,2058,5,1,Rural,2005,297146.278043302
428,2874,2,1,Suburb,2010,317771.38200603
429,2664,4,1,Rural,2009,206396.14784776705
430,1727,3,2,Suburb,2011,158463.66463616246
431,2338,2,1,Suburb,1980,187978.302844602
432,1716,4,2,Suburb,2001,265199.0221381263
433,1823,3,1,Urban,2010,144911.22219174105
434,2595,4,1,Rural,2003,323948.9886241465
435,2282,3,2,Rural,2005,280011.39034191315
436,1451,4,3,Suburb,1988,159771.8998854776
437,1464,2,2,Suburb,1952,131071.0335149124
438,1710,4,2,Rural,2005,260365.00872755185
439,1018,4,1,Rural,1994,145740.02026529424
440,2096,2,1,Rural,1955,229219.6452174544
441,2977,4,1,Rural,1992,360190.82962924347
442,1522,4,3,Suburb,1973,189447.79038063303
443,2778,3,1,Suburb,1957,269595.9376373072
444,2443,3,1,Urban,1952,256069.8480297308
445,2240,4,2,Suburb,2001,268762.93174289784
446,2786,5,3,Urban,1990,351719.8221765403
447,1187,4,1,Urban,2001,244021.64405795783
448,2972,5,3,Suburb,2001,314369.43440197886
449,2304,2,1,Rural,1989,162979.27323813795
450,2142,2,2,Urban,2002,323576.920429372
451,2810,2,1,Suburb,1985,209442.74033948596
452,1878,3,1,Suburb,1953,244451.790760282
453,2511,2,1,Suburb,1978,259900.9706209426
454,1376,4,3,Suburb,1961,163699.48172323525
455,1562,4,3,Suburb,2018,137597.5363396261
456,2283,5,1,Urban,2018,232391.8148926336
457,2313,5,1,Urban,1980,260711.1222832428
458,1462,3,3,Urban,1955,290439.42121103103
459,2748,4,1,Suburb,2001,346800.8327101277
460,2571,4,3,Rural,1952,226943.5772860338
461,1422,5,3,Urban,1969,139927.9491593548
462,2362,4,1,Urban,1991,242258.6896328347
463,1847,2,3,Urban,1960,186236.89193225928
464,2794,2,2,Suburb,1966,283241.5308754286
465,2413,5,3,Urban,1970,240690.15809318196
466,1484,3,3,Rural,1979,160660.39255138277
467,1064,2,2,Suburb,1997,176038.55804925656
468,1029,3,3,Suburb,1988,130369.81311057316
469,2637,3,3,Urban,1962,311863.6731675269
470,2376,3,2,Suburb,2019,133555.88761284275
471,1973,4,2,Urban,1969,254456.91013892487
472,1338,2,1,Rural,1996,115962.36190331302
473,1439,4,3,Suburb,2005,208383.39822490225
474,1008,3,3,Rural,1985,90514.02811236608
475,1532,4,2,Suburb,1980,252493.6580813517
476,1164,3,3,Urban,1982,186502.3532087812
477,1929,5,2,Suburb,1961,141156.55686252142
478,2965,2,3,Suburb,1990,355295.1444315064
479,2676,2,1,Rural,2017,277527.24369408406
480,1281,4,1,Urban,2009,102904.57867575272
481,1216,2,1,Rural,1991,151148.9419555298
482,1724,2,3,Urban,1981,121213.22159871644
483,1655,3,1,Suburb,1955,277588.1509677096
484,1745,2,2,Suburb,2003,263579.54038405983
485,2055,5,1,Urban,2011,336374.3921349383
486,2072,5,1,Rural,1967,233214.28311107756
487,2442,2,1,Rural,1963,303071.7170902354
488,1498,4,3,Suburb,1979,164498.34361871722
489,1815,3,3,Urban,2016,217967.92847377845
490,1471,2,2,Urban,1976,138753.6881294456
491,1763,3,2,Urban,2006,212178.72116261904
492,1636,2,3,Suburb,1981,227258.67129741985
493,1483,5,3,Rural,1969,133119.88998765888
494,2369,4,3,Rural,1979,232695.9107847658
495,2356,2,1,Urban,1987,174927.20773319143
496,1332,3,3,Rural,1971,206531.12850206415
497,1741,2,2,Urban,2001,288267.64191876154
498,2629,3,1,Rural,1983,221500.56432783676
499,2930,5,2,Suburb,2006,320117.02247393184
500,2102,5,2,Urban,1964,219548.86150707013
501,2756,2,1,Rural,1964,302755.04563530185
502,1326,5,1,Suburb,1999,115633.21003094224
503,2640,3,2,Suburb,1979,374355.3501127491
504,2789,5,2,Suburb,1961,246628.0101423235
505,2576,5,1,Rural,1986,308002.82085119234
506,1394,5,3,Rural,1997,138880.1013688666
507,2696,4,1,Suburb,2021,334140.18282010744
508,2948,5,1,Suburb,1994,287779.2864335963
509,2274,5,3,Rural,1970,370831.3077873554
510,2263,2,2,Urban,2000,268640.73755116
511,1235,5,1,Suburb,2014,149913.31470562433
512,2019,5,3,Suburb,1992,257956.2552237104
513,1803,4,1,Suburb,1969,179287.59789997287
514,1886,3,2,Suburb,1971,188546.42865272277
515,2177,3,1,Suburb,1952,280299.05117374304
516,2519,2,3,Urban,2006,303520.33385508275
517,2437,5,2,Suburb,1979,194324.92219525343
518,2579,5,1,Rural,1977,325067.06746689667
519,1093,4,2,Urban,1982,125573.2771991922
520,2840,3,3,Rural,1986,228222.5110913225
521,1649,4,3,Suburb,1969,262961.20479134406
522,2240,4,1,Urban,1959,213528.14029955532
523,1129,5,2,Urban,2018,214619.59165884857
524,2938,2,1,Rural,2013,433129.1230004112
525,1526,2,3,Rural,1993,96714.72725636695
526,2849,5,1,Suburb,1956,259023.89799939687
527,2633,3,1,Rural,1955,281956.2116816701
528,2305,5,3,Suburb,1973,328915.2132060906
529,2277,4,1,Suburb,1967,270478.9182134496
530,2475,2,3,Rural,2009,193372.34649799383
531,2243,4,1,Suburb,1956,253518.58182422275
532,2539,4,1,Rural,1957,305364.6087710595
533,1992,5,1,Rural,1973,240050.4959834057
534,1635,3,1,Urban,1968,181168.050183088
535,1939,3,3,Suburb,1960,237567.69075156408
536,1726,5,1,Suburb,2020,222047.81479721228
537,2181,2,3,Suburb,2015,235731.5346973957
538,1341,2,1,Urban,2017,156075.09760515823
539,1421,3,1,Rural,1972,236825.6031350623
540,2067,3,3,Rural,2011,231943.9358688604
541,1243,3,3,Urban,2017,88020.47515274191
542,1778,4,3,Suburb,2010,244345.862783705
543,1215,5,2,Suburb,1962,187236.1416075517
544,2250,4,2,Rural,2002,231095.84945019791
545,1493,5,2,Urban,2019,187202.89791018065
546,2234,3,1,Rural,1986,216452.02447696493
547,2162,2,3,Rural,1983,204390.81934900364
548,1281,3,1,Rural,1974,201346.06673621212
549,2679,2,2,Suburb,1969,270836.9470849932
550,1081,4,1,Rural,1972,131491.41903936438
551,1619,5,1,Suburb,2011,125106.62888398566
552,1741,4,2,Rural,1979,243472.76727567049
553,2282,2,1,Suburb,1971,127557.94112293886
554,1444,4,1,Rural,1974,90595.44336075484
555,2653,2,2,Urban,2009,242100.8754989128
556,1915,3,1,Suburb,1974,235224.5419306014
557,2085,3,3,Suburb,1973,262933.3475294659
558,2003,4,3,Urban,1998,202477.4496080453
559,2416,5,1,Urban,2012,338731.39814531995
560,1362,4,1,Suburb,1986,144237.97851413992
561,1216,2,3,Urban,1966,57095.72060447122
562,1685,3,1,Suburb,1957,163076.96854104125
563,2715,5,1,Suburb,2020,319328.9945971654
564,1366,4,2,Suburb,1969,196201.42077080725
565,1436,3,3,Rural,1975,127631.76652377304
566,1129,5,1,Urban,1992,121454.27990470358
567,2447,2,1,Suburb,1957,223615.6896186366
568,1816,5,2,Rural,1976,171509.18756934677
569,2466,4,1,Rural,1992,283120.8827588908
570,2041,2,2,Suburb,1993,230225.86958108735
571,1367,2,3,Suburb,1964,116310.14302561597
572,1610,3,1,Suburb,1957,201406.4961944201
573,2359,4,1,Urban,2018,267166.8063842651
